2	254	1
2	400	1
2	401	1
2	408	1
2	877	1
2	878	1
2	1115	2
2	1204	3
2	1271	1
2	1273	1
2	1361	1
2	1482	1
2	1508	2
2	1535	1
2	1578	1
2	1721	1
2	1734	2
2	2146	1
2	2150	1
2	2280	1
2	2389	1
2	2407	1
2	2472	1
2	2601	1
2	2653	1
2	2706	1
2	2984	1
2	3067	1
2	3397	2
2	3951	1
2	4245	1
2	4742	1
2	4872	1
2	5008	1
2	5114	3
2	5172	1
2	5179	1
2	5188	2
2	5237	2
2	5312	1
2	5327	3
2	5335	1
2	5351	1
2	5468	1
8	80	1
8	255	1
8	824	1
8	881	2
8	1521	1
8	1696	1
8	1734	1
8	1911	1
8	2389	1
8	2411	1
8	2726	1
8	2771	1
8	2984	1
8	3100	1
8	3118	1
8	3132	2
8	3410	1
8	4318	1
8	5068	1
8	5114	1
8	5738	1
28	47	3
28	116	3
28	254	4
28	291	2
28	449	2
28	777	1
28	881	1
28	984	3
28	1115	1
28	1482	1
28	1529	2
28	1721	1
28	2008	4
28	2062	1
28	2150	1
28	2407	1
28	2472	4
28	2484	4
28	2519	4
28	3045	1
28	3067	3
28	3132	1
28	3261	1
28	3269	4
28	3330	1
28	3397	1
28	3517	1
28	3748	1
28	3951	1
28	4182	1
28	4187	2
28	4191	3
28	4285	2
28	4348	3
28	4606	1
28	4657	1
28	4678	1
28	5039	1
28	5049	3
28	5114	2
28	5173	3
28	5179	1
28	5230	1
28	5237	1
28	5270	1
28	5327	4
28	5331	1
28	5335	1
28	5418	1
28	5639	1
28	5652	1
28	5654	1
28	5738	1
28	5872	2
47	116	1
47	254	2
47	291	1
47	984	2
47	1115	1
47	1121	1
47	1529	4
47	1720	1
47	2008	2
47	2062	1
47	2407	3
47	2472	2
47	2484	2
47	2519	2
47	2726	1
47	3045	1
47	3067	3
47	3261	1
47	3269	2
47	3410	1
47	3517	1
47	3741	1
47	3748	2
47	3863	1
47	3951	1
47	4182	1
47	4187	1
47	4191	2
47	4285	1
47	4348	2
47	4622	1
47	5049	2
47	5114	1
47	5173	2
47	5179	1
47	5270	1
47	5306	1
47	5327	3
47	5652	2
47	5872	1
59	116	1
59	254	1
59	309	1
59	570	1
59	881	1
59	1024	2
59	1245	1
59	1429	1
59	1482	1
59	1521	1
59	1529	1
59	1846	1
59	2008	1
59	2472	1
59	2658	1
59	3442	1
59	4828	1
59	5179	1
59	5230	1
59	5237	1
59	5633	1
59	5738	1
59	5802	1
59	5872	1
80	254	1
80	255	5
80	376	1
80	449	1
80	772	1
80	777	1
80	881	1
80	895	1
80	984	1
80	1040	1
80	1115	2
80	1121	1
80	1482	1
80	1529	1
